====================Start New Logs==============================
config: NB | instance: gttt-4x4-2-2-skinny-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: gttt-4x4-2-2-skinny-v2  | solver: depqbf | preprocessor: bloqqer | time: 41
config: NB | instance: gttt-4x4-2-2-tippy-v2  | solver: caqe | preprocessor: bloqqer | time: 61
config: NB | instance: gttt-4x4-2-2-tippy-v2  | solver: depqbf | preprocessor: bloqqer | time: 6
config: NB | instance: dots-and-boxes-2x2  | solver: caqe | preprocessor: bloqqer | time: 82
config: NB | instance: dots-and-boxes-2x2  | solver: depqbf | preprocessor: bloqqer | time: 14
config: NB | instance: dots-and-boxes-2x3  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: dots-and-boxes-2x3  | solver: depqbf | preprocessor: bloqqer | time: > 1800
config: NB | instance: connect-3-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: 3
config: NB | instance: connect-3-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 2
config: NB | instance: connect-3-3player-5x5  | solver: caqe | preprocessor: bloqqer | time: 527
config: NB | instance: connect-3-3player-5x5  | solver: depqbf | preprocessor: bloqqer | time: 16
config: NB | instance: connect-3-3player-6x6  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: connect-3-3player-6x6  | solver: depqbf | preprocessor: bloqqer | time: 606
config: NB | instance: connect-4-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: 82
config: NB | instance: connect-4-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 17
config: NB | instance: connect-4-3player-5x4  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: connect-4-3player-5x4  | solver: depqbf | preprocessor: bloqqer | time: 425
config: NB | instance: connect-4-3player-5x5  | solver: caqe | preprocessor: bloqqer | time: 278
config: NB | instance: connect-4-3player-5x5  | solver: depqbf | preprocessor: bloqqer | time: 20
config: NB | instance: tic-tac-toe-3player-3x3  | solver: caqe | preprocessor: bloqqer | time: 3
config: NB | instance: tic-tac-toe-3player-3x3  | solver: depqbf | preprocessor: bloqqer | time: 1
config: NB | instance: tic-tac-toe-3player-4x4  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: tic-tac-toe-3player-4x4  | solver: depqbf | preprocessor: bloqqer | time: 45
====================Start New Logs==============================
config: GD | instance: gttt-4x4-2-2-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: 68
config: GD | instance: gttt-4x4-2-2-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 35
config: ND | instance: gttt-4x4-2-2-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: 92
config: ND | instance: gttt-4x4-2-2-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 44
config: GB | instance: gttt-4x4-2-2-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: GB | instance: gttt-4x4-2-2-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 14
config: NB | instance: gttt-4x4-2-2-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: > 1800
config: NB | instance: gttt-4x4-2-2-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 16
====================Start New Logs 2026-01-25 21:56:19.508863==============================
config: GD | instance: break-through-2x5  | solver: depqbf --no-qbce-dynamic | time: 5
config: GD | instance: break-through-3x4  | solver: depqbf --no-qbce-dynamic | time: 8
config: GD | instance: break-through-2x6  | solver: depqbf --no-qbce-dynamic | time: 43
config: GD | instance: break-through-4x4  | solver: depqbf --no-qbce-dynamic | time: 88
config: GD | instance: connect-3-4x4  | solver: depqbf --no-qbce-dynamic | time: 1
config: GD | instance: connect-3-5x5  | solver: depqbf --no-qbce-dynamic | time: 8
config: GD | instance: connect-3-6x6  | solver: depqbf --no-qbce-dynamic | time: 536
config: GD | instance: connect-4-4x4  | solver: depqbf --no-qbce-dynamic | time: 2
config: GD | instance: connect-4-5x4  | solver: depqbf --no-qbce-dynamic | time: 107
====================Start New Logs 2026-02-08 16:06:40.962057==============================
config: GD | instance: break-through-2x5  | solver: depqbf | preprocessor: bloqqer | time: 6
config: GD | instance: break-through-2x5  | solver: caqe | preprocessor: bloqqer | time: 5
====================Start New Logs 2026-02-08 16:07:09.898212==============================
====================Start New Logs 2026-02-08 16:07:38.119098==============================
config: GD | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: 678
config: GD | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: 201
config: ND | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: 673
config: ND | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: 207
config: GB | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: > 1200
config: GB | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: > 1200
config: NB | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: > 1200
config: NB | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: > 1200

====================Start New Logs 2026-02-10 16:49:25.139173==============================
config: GD | instance: break-through-2x5  | preprocessor-only: bloqqer | time: 5
config: GD | instance: break-through-3x4  | preprocessor-only: bloqqer | time: 7
config: GD | instance: break-through-2x6  | preprocessor-only: bloqqer | time: 13
config: GD | instance: break-through-4x4  | preprocessor-only: bloqqer | time: 36
config: GD | instance: connect-3-4x4  | preprocessor-only: bloqqer | time: 1
config: GD | instance: connect-3-5x5  | preprocessor-only: bloqqer | time: 4
config: GD | instance: connect-3-6x6  | preprocessor-only: bloqqer | time: 12
config: GD | instance: connect-4-4x4  | preprocessor-only: bloqqer | time: 1
config: GD | instance: connect-4-5x4  | preprocessor-only: bloqqer | time: 1
config: GD | instance: connect-4-5x5  | preprocessor-only: bloqqer | time: 2
config: GD | instance: gttt-4x4-1-1-fatty-v2  | preprocessor-only: bloqqer | time: 1
config: GD | instance: gttt-4x4-1-1-elly-v2  | preprocessor-only: bloqqer | time: 2
config: GD | instance: gttt-4x4-1-1-knobby-v2  | preprocessor-only: bloqqer | time: 1
config: GD | instance: gttt-4x4-1-1-skinny-v2  | preprocessor-only: bloqqer | time: 1
